Definiere: Marke	"Ein Zeichen, das geeignet ist, Waren oder Dienstleistungen eines Unternehmens von denjenigen anderer Unternehmen zu unterscheiden (<a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 Abs. 1 MarkenG</a>). Schutz entsteht durch Eintragung, Verkehrsgeltung oder notorische Bekanntheit (<a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 MarkenG</a>).<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 1 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__1.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 1 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 MarkenG</a>"	Begriff Grundlagen
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 150 VerfO</a> (Gesondertes Verfahren zur Kostenfestsetzung)?"	Gesondertes Verfahren zur Kostenfestsetzung<br><br>Eine Kostenfestsetzung kann Gegenstand eines gesonderten Verfahrens sein, das einer Sachentscheidung und gegebenenfalls einer Entscheidung über die Festsetzung von Schadenersatz nachfolgt. Die Kostenfestsetzung umfasst die dem Gericht in dem Verfahren entstandenen Kosten, wie etwa die Kosten für die Simultanverdolmetschung und die Kosten gemäß den Regeln 173, 180.1, 185.7, 188 und 201, sowie, nach Maßgabe der Regeln 152 bis 156, die Kosten der obsiegenden Partei einschließlich der von dieser Partei entrichteten Gerichtsgebühren [Regel 151(d)]. Die Kosten für Verdolmetschungen und Übersetzungen …<br><br>Hinweis: Kostenentscheidung als gesondertes Verfahren nach der Hauptsacheentscheidung; Antrag binnen eines Monats (R. 151).<br><br>In 110 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 151 VerfO</a> (Einleitung des Verfahrens zur Kostenfestsetzung)?"	Einleitung des Verfahrens zur Kostenfestsetzung<br><br>Wünscht die obsiegende Partei (im Folgenden „der Antragsteller“) eine Kostenfestsetzung, muss sie innerhalb eines Monats nach der Entscheidung einen Antrag auf Kostenfestsetzung stellen, der Folgendes enthalten muss: (a) die Angaben gemäß Regel 13.1(a) bis (d), (b) das Datum der Entscheidung und das Aktenzeichen, (c) die Angabe, ob gegen die Entscheidung in der Sache Berufung eingelegt wurde, soweit zum Zeitpunkt des Antrags bekannt, (d) die Angabe der Kosten, deren Erstattung beantragt wird und zu denen die Gerichtsgebühren und die Kosten der Vertretung, die Kosten für Zeugen und Sachverständ …<br><br>In 68 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 152 VerfO</a> (Erstattung der Kosten der Vertretung)?"	Erstattung der Kosten der Vertretung<br><br>Der Antragsteller ist berechtigt, die angemessenen und verhältnismäßigen Kosten der Vertretung zurückzufordern.<br><br>In 85 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 156 VerfO</a> (Weiteres Verfahren)?"	Weiteres Verfahren<br><br>Der Berichterstatter kann den Antragsteller auffordern, schriftliche Nachweise für alle gemäß Regel 151(d) geltend gemachten Kosten vorzulegen. Der Berichterstatter gibt der unterlegenen Partei Gelegenheit, sich zu den geltend gemachten Kosten, einschließlich aller Kosten, die gemäß Artikel 69 Absätze 1 bis 3 des Übereinkommens zwischen den Parteien aufgeteilt bzw. von jeder Partei allein getragen werden sollen, schriftlich zu äußern.<br><br>In 34 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 157 VerfO</a> (Berufung gegen die Kostenentscheidung)?"	"Berufung gegen die Kostenentscheidung<br><br>Gegen die Kostenentscheidung des Berichterstatters kann nur gemäß Regel 221 Berufung vor dem Berufungsgericht eingelegt werden.<br><br>Bezug: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 69 EPGÜ</a><br><br>In 34 Entscheidungen des EPG zitiert."	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 158 VerfO</a> (Sicherheitsleistung für die Kosten einer Partei)?"	"Sicherheitsleistung für die Kosten einer Partei<br><br>Das Gericht kann zu jedem Zeitpunkt des Verfahrens auf einen mit einer Begründung versehenen Antrag einer Partei anordnen, dass die andere Partei innerhalb einer festgelegten Frist für die Kosten des Rechtsstreits und sonstigen der antragstellenden Partei entstandenen und/oder noch entstehenden Kosten, welche die andere Partei möglicherweise tragen muss, angemessene Sicherheit zu leisten hat. Beschließt das Gericht, eine solche Sicherheitsleistung anzuordnen, hat es darüber zu entscheiden, ob die Sicherheitsleistung durch Hinterlegung oder Bankbürgschaft erfolgen soll.<br><br>Bezug: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 4 EPGÜ</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 69 EPGÜ</a><br><br>Hinweis: Prozesskostensicherheit: Gefährdung der Erstattung oder Vollstreckungsschwierigkeiten; Beweislast beim Antragsteller (EPG-BerG Aarke/SodaStream).<br><br>In 144 Entscheidungen des EPG zitiert."	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 170 VerfO</a> (Beweismittel und Beweiserhebung)?"	Beweismittel und Beweiserhebung<br><br>In den Verfahren vor dem Gericht sind insbesondere folgende Beweismittel zulässig: (a) schriftliche Beweismittel, ob gedruckt, handgeschrieben oder gezeichnet, insbesondere Urkunden, schriftliche Zeugenaussagen, Pläne, Zeichnungen, Fotografien; (b) Sachverständigengutachten und Berichte über Versuche, die für die Zwecke des Verfahrens durchgeführt wurden; (c) physische Gegenstände, insbesondere Geräte, Erzeugnisse, Ausführungsformen, Ausstellungsstücke, Modelle; (d) elektronische Dateien und Audio-/Videoaufnahmen.<br><br>In 5 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 171 VerfO</a> (Beweisangebot)?"	Beweisangebot<br><br>Eine Partei, die eine Tatsachenbehauptung aufstellt, die von der anderen Partei bestritten wird oder wahrscheinlich bestritten wird, hat die Beweise für diese Behauptung anzugeben. Werden in Bezug auf eine streitige Tatsache keine Beweismittel angegeben, wird das Gericht dies bei der Entscheidung über die in Rede stehende Angelegenheit berücksichtigen.<br><br>In 63 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 172 VerfO</a> (Pflicht zur Beweisvorlage)?"	"Pflicht zur Beweisvorlage<br><br>Die Beweismittel, die einer Partei in Bezug auf eine Tatsachenbehauptung, die von der anderen Partei bestritten wird oder wahrscheinlich bestritten wird, zur Verfügung stehen, müssen von der Partei, die die Tatsache behauptet, vorgelegt werden.<br><br>Bezug: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 53 EPGÜ</a><br><br>In 15 Entscheidungen des EPG zitiert."	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 181 VerfO</a> (Sachverständige der Parteien)?"	Sachverständige der Parteien<br><br>Vorbehaltlich der in den Regeln 104(e) und 112.2(b) genannten Anordnungen des Gerichts kann eine Partei jeden Sachverständigenbeweis vorlegen, den sie für erforderlich hält. Die Regeln 175 bis 180 gelten für die Sachverständigen der Parteien entsprechend.<br><br>In 6 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 190 VerfO</a> (Anordnung der Beweisvorlage)?"	"Anordnung der Beweisvorlage<br><br>Hat eine Partei alle vernünftigerweise verfügbaren und plausiblen Beweismittel zur Begründung ihrer Ansprüche vorgelegt und zur Begründung dieser Ansprüche Beweismittel bezeichnet, die sich in der Verfügungsgewalt der gegnerischen Partei oder einer dritten Partei befinden, kann das Gericht auf einen mit einer Begründung versehenen Antrag der Partei, welche die Beweismittel bezeichnet hat, die Vorlage dieser Beweismittel durch die gegnerische Partei oder die dritte Partei anordnen. Zum Schutz vertraulicher Informationen kann das Gericht anordnen, dass die Beweismittel nur bestimmten namentlich  …<br><br>Bezug: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 59 EPGÜ</a><br><br>Hinweis: Beweisvorlage nach <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 59 EPGÜ</a> für substantiierte, bestrittene Tatsachen; keine Ausforschung.<br><br>In 70 Entscheidungen des EPG zitiert."	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 191 VerfO</a> (Antrag auf Anordnung der Auskunftserteilung)?"	"Antrag auf Anordnung der Auskunftserteilung<br><br>Das Gericht kann auf einen mit einer Begründung versehenen Antrag einer Partei anordnen, dass Informationen gemäß Artikel 67 des Übereinkommens, die sich in der Verfügungsgewalt der anderen oder einer dritten Partei befinden, oder Informationen, welche die antragstellende Partei zum Zwecke der Rechtsverfolgung vernünftigerweise benötigt, von der anderen bzw. dritten Partei übermittelt werden müssen. Regel 190.1, zweiter Satz, .5 und .6 gilt entsprechend.<br><br>Bezug: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 67 EPGÜ</a><br><br>In 44 Entscheidungen des EPG zitiert."	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 192 VerfO</a> (Antrag auf Beweissicherung)?"	"Antrag auf Beweissicherung<br><br>Ein Antrag auf Beweissicherung kann von einer Partei (im Sinne von Artikel 47 des Übereinkommens) (im Folgenden „der Antragsteller“) bei der Kammer gestellt werden, bei der der Antragsteller das Verletzungsverfahren in der Sache anhängig gemacht hat. Wird der Antrag gestellt, bevor das Verfahren in der Sache eingeleitet worden ist, muss er bei der Kammer gestellt werden, bei der der Antragsteller beabsichtigt, das Verfahren in der Sache einzuleiten.<br><br>Bezug: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 60 EPGÜ</a><br><br>Hinweis: Antrag auf Beweissicherung: Angaben, Beweismittel, Offenlegungspflicht bei ex parte (Abs. 3, EPG-BerG Ecovacs/Roborock).<br><br>In 31 Entscheidungen des EPG zitiert."	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 194 VerfO</a> (Prüfung des Antrags auf Beweissicherung)?"	Prüfung des Antrags auf Beweissicherung<br><br>Das Gericht kann nach eigenem Ermessen – auch wenn der Antrag gemäß Regel 192.3 gestellt wird – (a) den Antragsgegner über den Antrag unterrichten und ihn auffordern, innerhalb einer festzusetzenden Frist gegen den Antrag auf Beweissicherung einen Einspruch einzulegen, der Folgendes enthalten muss: (i) die Gründe, warum der Antrag zurückzuweisen ist; (ii) die vorgebrachten Tatsachen und Beweismittel, insbesondere jegliches Bestreiten vom Antragsteller vorgebrachter Tatsachen und jegliche Angriffe gegen vom Antragsteller vorgebrachte Beweismittel; (iii) ist noch kein Hauptverfahren in der Sache …<br><br>In 15 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 196 VerfO</a> (Anordnung bezüglich des Antrags auf Beweissicherung)?"	"Anordnung bezüglich des Antrags auf Beweissicherung<br><br>Das Gericht kann insbesondere Folgendes anordnen: (a) die Beweissicherung durch ausführliche Beschreibung mit oder ohne Einbehaltung von Mustern, (b) die dingliche Beschlagnahme der angeblich verletzenden Erzeugnisse, (c) die dingliche Beschlagnahme der für die Herstellung und/oder den Vertrieb dieser Erzeugnisse verwendeten Materialien und Geräte und der zugehörigen Unterlagen, (d) die Sicherung und Offenlegung digitaler Medien und Daten und die Offenlegung aller für den Zugang zu diesen erforderlichen Passwörter. Zum Schutz vertraulicher Informationen kann das Gericht anordnen, dass diese Of …<br><br>Bezug: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 1 EPGÜ</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 4 EPGÜ</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 60 EPGÜ</a><br><br>In 27 Entscheidungen des EPG zitiert."	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 197 VerfO</a> (Anordnung der Beweissicherung ohne Anhörung des Antragsgegners)?"	"Anordnung der Beweissicherung ohne Anhörung des Antragsgegners<br><br>Das Gericht kann Maßnahmen zur Beweissicherung [Regel 196.1]ohne vorherige Anhörung des Antragsgegners insbesondere dann anordnen, wenn durch eine Verzögerung dem Antragsteller wahrscheinlich ein nicht wiedergutzumachender Schaden entstünde, oder wenn nachweislich die Gefahr besteht, dass Beweismittel vernichtet werden oder aus anderen Gründen nicht mehr verfügbar sein könnten.<br><br>Bezug: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 6 EPGÜ</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 60 EPGÜ</a><br><br>In 42 Entscheidungen des EPG zitiert."	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 198 VerfO</a> (Aufhebung einer Anordnung der Beweissicherung)?"	"Aufhebung einer Anordnung der Beweissicherung<br><br>Das Gericht stellt sicher, dass eine Anordnung der Beweissicherung auf Antrag des Antragsgegners, unbeschadet etwaiger Schadenersatzforderungen, aufgehoben oder auf andere Weise außer Kraft gesetzt wird, wenn der Antragsteller nicht innerhalb einer Frist von 31 Kalendertagen oder 20 Werktagen – je nachdem, welcher Zeitraum länger ist – ab dem in der gerichtlichen Anordnung, unter angemessener Berücksichtigung des Datums, bis zu dem der Bericht gemäß Regel 196.4 vorliegen soll, festgelegten Datum das Hauptverfahren in der Sache bei dem Gericht einleitet.<br><br>Bezug: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 60 EPGÜ</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 8 EPGÜ</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 9 EPGÜ</a><br><br>In 26 Entscheidungen des EPG zitiert."	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 199 VerfO</a> (Anordnung der Inspektion)?"	"Anordnung der Inspektion<br><br>Das Gericht kann auf einen mit einer Begründung versehenen Antrag einer Partei eine Inspektion von Erzeugnissen, Vorrichtungen, Verfahren, Räumlichkeiten oder lokalen Gegebenheiten vor Ort anordnen. Zum Schutz vertraulicher Informationen kann das Gericht anordnen, dass diese Offenlegung nur gegenüber bestimmten namentlich benannten Personen erfolgt und einer angemessenen Geheimhaltungspflicht gemäß Artikel 58 des Übereinkommens unterliegt.<br><br>Bezug: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 60 EPGÜ</a><br><br>In 15 Entscheidungen des EPG zitiert."	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 205 VerfO</a> (Verfahrensabschnitte (summarisches Verfahren))?"	Verfahrensabschnitte (summarisches Verfahren)<br><br>Einstweilige Maßnahmen werden im Wege des summarischen Verfahrens durchgeführt, das die folgenden Abschnitte umfasst: (a) ein schriftliches Verfahren und (b) ein mündliches Verfahren, das eine mündliche Anhörung der Parteien oder einer der Parteien beinhalten kann.<br><br>In 12 Entscheidungen des EPG zitiert.	EPG VerfO
"Was regelt <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 206 VerfO</a> (Antrag auf einstweilige Maßnahmen)?"	"Antrag auf einstweilige Maßnahmen<br><br>Ein Antrag auf einstweilige Maßnahmen kann von einer Partei (im Folgenden „der Antragsteller“) bei dem Gericht vor oder nach Einleitung des Hauptverfahrens in der Sache gestellt werden.<br><br>Bezug: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 1 EPGÜ</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 32 EPGÜ</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:42013A0620(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 62 EPGÜ</a><br><br>Hinweis: Antrag auf einstweilige Maßnahmen: Angaben zu Rechtsbestand, Verletzung, Dringlichkeit; Schutzschrift nach R. 207 ist zu berücksichtigen.<br><br>In 65 Entscheidungen des EPG zitiert."	EPG VerfO
